Category  Value1  Value2  Sum Percentage  Ratio
       A     150     200  350        35%   1.33
       B     300     400  700        70%   1.33
       C     100     150  250        25%   1.50
       D     250     300  550        55%   1.20
       E     200     250  450        45%   1.25
       F     350     450  800        80%   1.29
       G     400     500  900        90%   1.25
       H     450     600 1050       105%   1.33
       I     500     700 1200       120%   1.40
       J     600     800 1400       140%   1.33
